statePostal,stateName,raceID,first,last,party,candidateID,ballotOrder,polID,polNum,voteCount,electWon,winner,winnerDateTime,incumbent,seatNum,abbrv
AL,Alabama,1683,Katie,Britt,GOP,6052,2.0,70506,3830,428624.0,0.0,X,2022-11-09T01:00:04.280Z,,,
AR,Arkansas,5103,John,Boozman,GOP,11958,1.0,1620,7448,280698.0,0.0,X,2022-11-09T01:30:03.718Z,True,,
CT,Connecticut,9147,Richard,Blumenthal,Dem,19238,1.0,9548,10539,170255.0,0.0,X,2022-11-09T01:00:04.280Z,True,,Blumnthl
FL,Florida,11160,Marco,Rubio,GOP,19377,5.0,53044,12082,4381535.0,0.0,X,2022-11-09T01:17:48.606Z,True,,
IL,Illinois,16413,Tammy,Duckworth,Dem,27492,2.0,51631,19437,1582722.0,0.0,X,2022-11-09T01:00:04.280Z,True,,Duckwrth
IN,Indiana,15765,Todd,Young,GOP,22752,1.0,60424,17458,825667.0,0.0,X,2022-11-09T01:26:46.765Z,True,,
KS,Kansas,17681,Jerry,Moran,GOP,5661,2.0,692,17060,322239.0,0.0,X,2022-11-09T02:00:06.798Z,True,,
KY,Kentucky,18847,Rand,Paul,GOP,5617,1.0,60208,19745,651752.0,0.0,X,2022-11-09T00:14:52.601Z,True,,
MD,Maryland,21744,Chris,Van Hollen,Dem,30588,2.0,1066,23931,484464.0,0.0,X,2022-11-09T01:00:04.280Z,True,,VanHolln
ND,North Dakota,35541,John,Hoeven,GOP,40113,2.0,1780,36262,57965.0,0.0,X,2022-11-09T02:00:06.798Z,True,,
NY,New York,39242,Charles,Schumer,Dem,77148,1.0,1745,50300,1283572.0,0.0,X,2022-11-09T02:00:06.798Z,True,,
OK,Oklahoma,38145,James,Lankford,GOP,44647,2.0,61119,39868,600669.0,0.0,X,2022-11-09T01:00:04.280Z,True,,
OK,Oklahoma,38620,Markwayne,Mullin,GOP,46798,2.0,62235,40123,578488.0,0.0,X,2022-11-09T01:00:04.280Z,,2,
SC,South Carolina,41849,Tim,Scott,GOP,48048,2.0,60345,43498,604717.0,0.0,X,2022-11-09T00:00:02.636Z,True,,
SD,South Dakota,42426,John,Thune,GOP,47239,3.0,579,42818,41427.0,0.0,X,2022-11-09T02:00:06.798Z,True,,
VT,Vermont,46373,Peter,Welch,Dem,53965,8.0,58883,48621,104138.0,0.0,X,2022-11-09T00:00:02.636Z,,,
